movie_title,movie_score,movie_description,movie_type,release_date,director,rating,country,main_actors,movie_genre
Le créateur ,47.6,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Comedy,5/13/1958,Lloyd Rohlf,4.5,China,Claudianus Bolderson,Romance
Crime Wave,8.1,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Sci-Fi,6/11/1975,Ortensia Archibald,5.3,Brazil,Corly Macbane,Thriller
West of Zanzibar,28.3,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",Horror,3/27/1909,Bordie Bardsley,8.6,China,Lee Bulward,Mystery
One Night of Love,41.3,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Action,9/10/1960,Nev Wrenn,9.1,Thailand,Basilio Lowson,Thriller
Ishtar,89.9,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Action,2/22/1981,Jesse Bradick,2.3,Japan,Nataniel Greenley,Romance
Heavy Petting,93.6,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Comedy,10/20/1911,Emylee Ades,8.4,Japan,Tristan Bly,Fantasy
Fellini's Roma (Roma),8.3,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Action,7/10/1912,Spenser Bertome,8.4,Philippines,Duffy Dionisetto,Animation
Richard III,30.5,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Sci-Fi,10/29/1941,Martica Medd,5.6,Yemen,Luciano Rae,Thriller
"Monkey's Tale, A (Château des singes, Le)",20.5,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Action,9/9/1911,Vitia Shallcrass,0.4,Togo,Daisi Dainty,Animation
Yrrol: An Enormously Well Thought Out Movie (Yrrol - en kolossalt genomtänkt film),72.2,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Sci-Fi,3/30/2017,Channa Kirgan,3.6,Bulgaria,Skye Hans,Thriller
Gardens of the Night,53.0,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Horror,3/30/1940,Fidel Yakunchikov,6.2,Portugal,Archy Templman,Fantasy
End of the Spear,24.6,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Horror,1/28/1900,Audi Depke,1.4,Mexico,Vivyan Bassom,Fantasy
Kung Phooey!,10.7,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Action,3/21/1958,Aldous Button,4.4,United Kingdom,Martie Sedgmond,Romance
Mr. Woodcock,11.8,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",Comedy,4/5/1913,Elfreda Flamank,4.9,United States,Roth Edmundson,Fantasy
My Last Day Without You (Nie mehr ohne Dich),83.9,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Action,1/8/1918,Fairfax Chomicz,7.5,Indonesia,Anderea Coxwell,Mystery
Rocky Balboa,63.1,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Sci-Fi,11/19/1922,Ignacius Conradie,2.8,China,Blondell Wilkerson,Thriller
Just Around the Corner,89.8,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Comedy,6/10/1963,Tod Muzzullo,9.3,France,Isabella Van Rembrandt,Romance
Red Psalm (Még kér a nép),56.7,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",Action,6/16/1932,Ailbert Lindman,8.2,Philippines,Mary Horstead,Mystery
Piggy,28.5,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",Drama,8/31/2009,Stacy Darkins,2.5,Indonesia,Fayre Groll,Mystery
